benchmark,topology,pinning,source,allocator,instances,instance_id,interop_threads,intraop_threads,batch_size,throughput
resnet_manual_script,sequential,numactl,torch,tcmalloc,2,0,1,1,16,14.542907215509748
resnet_manual_script,sequential,numactl,torch,tcmalloc,2,1,1,1,16,14.329059781086746
resnet_manual_script,sequential,numactl,torch,tcmalloc,2,2,1,1,16,14.282557489815174
resnet_manual_script,sequential,numactl,torch,tcmalloc,4,0,1,1,16,14.5420593397227
resnet_manual_script,sequential,numactl,torch,tcmalloc,4,1,1,1,16,14.190808293027288
resnet_manual_script,sequential,numactl,torch,tcmalloc,4,3,1,1,16,14.228076915499628
resnet_manual_script,sequential,numactl,torch,tcmalloc,4,4,1,1,16,14.214985010719834
resnet_manual_script,sequential,numactl,torch,tcmalloc,4,2,1,1,16,14.133925835435736
resnet_manual_script,sequential,numactl,torch,tcmalloc,6,0,1,1,16,14.55058281026088
resnet_manual_script,sequential,numactl,torch,tcmalloc,6,3,1,1,16,14.12793508497911
resnet_manual_script,sequential,numactl,torch,tcmalloc,6,1,1,1,16,14.067960146930249
resnet_manual_script,sequential,numactl,torch,tcmalloc,6,6,1,1,16,14.113807263267116
resnet_manual_script,sequential,numactl,torch,tcmalloc,6,4,1,1,16,14.084922489411957
resnet_manual_script,sequential,numactl,torch,tcmalloc,6,5,1,1,16,14.04079505565595
resnet_manual_script,sequential,numactl,torch,tcmalloc,6,2,1,1,16,14.017332825499189
resnet_manual_script,sequential,numactl,torch,tcmalloc,8,0,1,1,16,14.563052599638823
resnet_manual_script,sequential,numactl,torch,tcmalloc,8,7,1,1,16,13.905455825181374
resnet_manual_script,sequential,numactl,torch,tcmalloc,8,1,1,1,16,13.807827764666232
resnet_manual_script,sequential,numactl,torch,tcmalloc,8,8,1,1,16,13.854372146778505
resnet_manual_script,sequential,numactl,torch,tcmalloc,8,6,1,1,16,13.87437124963525
resnet_manual_script,sequential,numactl,torch,tcmalloc,8,4,1,1,16,13.84705159960676
resnet_manual_script,sequential,numactl,torch,tcmalloc,8,5,1,1,16,13.786400853360083
resnet_manual_script,sequential,numactl,torch,tcmalloc,8,2,1,1,16,13.786670449252208
resnet_manual_script,sequential,numactl,torch,tcmalloc,8,3,1,1,16,13.841818106301695
resnet_manual_script,sequential,numactl,torch,tcmalloc,10,0,1,1,16,14.558611874918252
resnet_manual_script,sequential,numactl,torch,tcmalloc,10,1,1,1,16,12.93289844235273
resnet_manual_script,sequential,numactl,torch,tcmalloc,10,7,1,1,16,12.96923026031818
resnet_manual_script,sequential,numactl,torch,tcmalloc,10,9,1,1,16,12.968987824197834
resnet_manual_script,sequential,numactl,torch,tcmalloc,10,6,1,1,16,12.961702165138103
resnet_manual_script,sequential,numactl,torch,tcmalloc,10,3,1,1,16,12.935542516910077
resnet_manual_script,sequential,numactl,torch,tcmalloc,10,4,1,1,16,12.943590988807784
resnet_manual_script,sequential,numactl,torch,tcmalloc,10,5,1,1,16,12.930594455322394
resnet_manual_script,sequential,numactl,torch,tcmalloc,10,8,1,1,16,12.935132897198281
resnet_manual_script,sequential,numactl,torch,tcmalloc,10,2,1,1,16,12.902507086554735
resnet_manual_script,sequential,numactl,torch,tcmalloc,10,10,1,1,16,12.903381084627059
resnet_manual_script,sequential,numactl,torch,tcmalloc,12,0,1,1,16,14.54840440397502
resnet_manual_script,sequential,numactl,torch,tcmalloc,12,1,1,1,16,12.570598794847623
resnet_manual_script,sequential,numactl,torch,tcmalloc,12,7,1,1,16,12.62946593430007
resnet_manual_script,sequential,numactl,torch,tcmalloc,12,4,1,1,16,12.635016972250819
resnet_manual_script,sequential,numactl,torch,tcmalloc,12,9,1,1,16,12.652929458118235
resnet_manual_script,sequential,numactl,torch,tcmalloc,12,8,1,1,16,12.63084441135566
resnet_manual_script,sequential,numactl,torch,tcmalloc,12,3,1,1,16,12.601896696009053
resnet_manual_script,sequential,numactl,torch,tcmalloc,12,12,1,1,16,12.61272220141713
resnet_manual_script,sequential,numactl,torch,tcmalloc,12,6,1,1,16,12.605874776411326
resnet_manual_script,sequential,numactl,torch,tcmalloc,12,5,1,1,16,12.561156709162848
resnet_manual_script,sequential,numactl,torch,tcmalloc,12,2,1,1,16,12.520866469434562
resnet_manual_script,sequential,numactl,torch,tcmalloc,12,11,1,1,16,12.532614193620498
resnet_manual_script,sequential,numactl,torch,tcmalloc,12,10,1,1,16,12.518868376328266
resnet_manual_script,sequential,numactl,torch,tcmalloc,14,0,1,1,16,14.559132576930997
resnet_manual_script,sequential,numactl,torch,tcmalloc,14,1,1,1,16,11.671164885130885
resnet_manual_script,sequential,numactl,torch,tcmalloc,14,3,1,1,16,11.71467151062557
resnet_manual_script,sequential,numactl,torch,tcmalloc,14,7,1,1,16,11.730678790617375
resnet_manual_script,sequential,numactl,torch,tcmalloc,14,4,1,1,16,11.723488023020856
resnet_manual_script,sequential,numactl,torch,tcmalloc,14,6,1,1,16,11.70467312133099
resnet_manual_script,sequential,numactl,torch,tcmalloc,14,13,1,1,16,11.694377081950918
resnet_manual_script,sequential,numactl,torch,tcmalloc,14,14,1,1,16,11.691322904470729
resnet_manual_script,sequential,numactl,torch,tcmalloc,14,8,1,1,16,11.703493142036091
resnet_manual_script,sequential,numactl,torch,tcmalloc,14,9,1,1,16,11.689020082483355
resnet_manual_script,sequential,numactl,torch,tcmalloc,14,10,1,1,16,11.666324199900085
resnet_manual_script,sequential,numactl,torch,tcmalloc,14,12,1,1,16,11.656150361477861
resnet_manual_script,sequential,numactl,torch,tcmalloc,14,11,1,1,16,11.654881861077731
resnet_manual_script,sequential,numactl,torch,tcmalloc,14,5,1,1,16,11.694797921668574
resnet_manual_script,sequential,numactl,torch,tcmalloc,14,2,1,1,16,11.651049501322554
resnet_manual_script,sequential,numactl,torch,tcmalloc,16,0,1,1,16,14.547193651600123
resnet_manual_script,sequential,numactl,torch,tcmalloc,16,1,1,1,16,11.372327023671497
resnet_manual_script,sequential,numactl,torch,tcmalloc,16,16,1,1,16,11.385005410173454
resnet_manual_script,sequential,numactl,torch,tcmalloc,16,6,1,1,16,11.40122087206535
resnet_manual_script,sequential,numactl,torch,tcmalloc,16,3,1,1,16,11.380390033598323
resnet_manual_script,sequential,numactl,torch,tcmalloc,16,7,1,1,16,11.395960086745639
resnet_manual_script,sequential,numactl,torch,tcmalloc,16,15,1,1,16,11.368002232944118
resnet_manual_script,sequential,numactl,torch,tcmalloc,16,5,1,1,16,11.386005033532404
resnet_manual_script,sequential,numactl,torch,tcmalloc,16,9,1,1,16,11.376014081812254
resnet_manual_script,sequential,numactl,torch,tcmalloc,16,13,1,1,16,11.374431066203693
resnet_manual_script,sequential,numactl,torch,tcmalloc,16,11,1,1,16,11.378480004151756
resnet_manual_script,sequential,numactl,torch,tcmalloc,16,14,1,1,16,11.369975346802658
resnet_manual_script,sequential,numactl,torch,tcmalloc,16,4,1,1,16,11.3706415206248
resnet_manual_script,sequential,numactl,torch,tcmalloc,16,8,1,1,16,11.35264475032988
resnet_manual_script,sequential,numactl,torch,tcmalloc,16,12,1,1,16,11.359808418014024
resnet_manual_script,sequential,numactl,torch,tcmalloc,16,10,1,1,16,11.368927973431486
resnet_manual_script,sequential,numactl,torch,tcmalloc,16,2,1,1,16,11.339091997115265
