benchmark,threads,batch_size,throughput
resnet_manual_none,1,1,10.072571481028039
resnet_manual_none,4,1,29.82267238945647
resnet_manual_none,8,1,42.41682027649525
resnet_manual_none,12,1,42.46435826412433
resnet_manual_none,16,1,43.68543679499131
resnet_manual_none,20,1,40.65746148050525
resnet_manual_none,24,1,39.264058576675986
resnet_manual_none,28,1,38.43517308159759
resnet_manual_none,32,1,30.55330689211099
resnet_manual_none,36,1,36.15481474466137
resnet_manual_none,1,8,12.261375264908482
resnet_manual_none,4,8,41.12657225456321
resnet_manual_none,8,8,66.18942375866762
resnet_manual_none,12,8,75.06303707882138
resnet_manual_none,16,8,77.82689886844233
resnet_manual_none,20,8,92.3033020301645
resnet_manual_none,24,8,96.49925373094592
resnet_manual_none,28,8,109.36686187839268
resnet_manual_none,32,8,100.36149655326848
resnet_manual_none,36,8,100.2565397484801
resnet_manual_none,1,16,8.690750413341311
resnet_manual_none,4,16,29.97072162410206
resnet_manual_none,8,16,48.18398688129618
resnet_manual_none,12,16,53.6947695600174
resnet_manual_none,16,16,68.1979709041375
resnet_manual_none,20,16,64.50404560938735
resnet_manual_none,24,16,68.0004739427083
resnet_manual_none,28,16,70.31000975340541
resnet_manual_none,32,16,72.79940713460192
resnet_manual_none,36,16,71.95521975994853
resnet_manual_none,1,32,9.805874930237584
resnet_manual_none,4,32,37.73285719784823
resnet_manual_none,8,32,66.58237010223505
resnet_manual_none,12,32,70.74887500766478
resnet_manual_none,16,32,87.42153158093896
resnet_manual_none,20,32,75.13884330043616
resnet_manual_none,24,32,71.12996596227704
resnet_manual_none,28,32,89.581744572344
resnet_manual_none,32,32,124.81441395365383
resnet_manual_none,36,32,147.54364736963652
resnet_manual_channels_last,1,1,8.072818707935339
resnet_manual_channels_last,4,1,18.759428198563338
resnet_manual_channels_last,8,1,27.060986738305697
resnet_manual_channels_last,12,1,28.827805889587086
resnet_manual_channels_last,16,1,29.87748986024158
resnet_manual_channels_last,20,1,28.30851713956385
resnet_manual_channels_last,24,1,28.78248031889773
resnet_manual_channels_last,28,1,27.989494574458604
resnet_manual_channels_last,32,1,27.98985268486714
resnet_manual_channels_last,36,1,27.773683849741868
resnet_manual_channels_last,1,8,12.148470369182377
resnet_manual_channels_last,4,8,29.6755144471579
resnet_manual_channels_last,8,8,50.616741582798134
resnet_manual_channels_last,12,8,64.24831129888783
resnet_manual_channels_last,16,8,67.26514740797212
resnet_manual_channels_last,20,8,65.98609911581096
resnet_manual_channels_last,24,8,80.15692384200715
resnet_manual_channels_last,28,8,81.72342096910079
resnet_manual_channels_last,32,8,91.79008646163172
resnet_manual_channels_last,36,8,83.26160925580322
resnet_manual_channels_last,1,16,8.147560313349322
resnet_manual_channels_last,4,16,23.820831770570294
resnet_manual_channels_last,8,16,36.5246363542902
resnet_manual_channels_last,12,16,49.27796933486571
resnet_manual_channels_last,16,16,54.02630154346661
resnet_manual_channels_last,20,16,59.30356540514722
resnet_manual_channels_last,24,16,78.42515024576228
resnet_manual_channels_last,28,16,59.931934054422484
resnet_manual_channels_last,32,16,82.07701505375988
resnet_manual_channels_last,36,16,61.65924998094963
resnet_manual_channels_last,1,32,7.128983851370603
resnet_manual_channels_last,4,32,26.393766623832157
resnet_manual_channels_last,8,32,42.734103862142184
resnet_manual_channels_last,12,32,51.038883415701825
resnet_manual_channels_last,16,32,57.071114920546634
resnet_manual_channels_last,20,32,69.87896248062142
resnet_manual_channels_last,24,32,60.80279385299626
resnet_manual_channels_last,28,32,89.36918493502655
resnet_manual_channels_last,32,32,62.00631126809387
resnet_manual_channels_last,36,32,69.70531496313818
resnet_manual_ipex,1,1,4.312249938180278
resnet_manual_ipex,4,1,7.961098579234061
resnet_manual_ipex,8,1,20.916831557438055
resnet_manual_ipex,12,1,22.870999942013185
resnet_manual_ipex,16,1,13.123961341642518
resnet_manual_ipex,20,1,17.909251481425084
resnet_manual_ipex,24,1,24.348085451979127
resnet_manual_ipex,28,1,23.01808781437248
resnet_manual_ipex,32,1,24.49653179202114
resnet_manual_ipex,36,1,17.98968899858761
resnet_manual_ipex,1,8,11.637794282389715
resnet_manual_ipex,4,8,39.761716320513784
resnet_manual_ipex,8,8,62.3375054643799
resnet_manual_ipex,12,8,78.05632781446893
resnet_manual_ipex,16,8,85.23524659907959
resnet_manual_ipex,20,8,88.71392856307345
resnet_manual_ipex,24,8,95.27710735759001
resnet_manual_ipex,28,8,91.17879417352616
resnet_manual_ipex,32,8,93.73661138596388
resnet_manual_ipex,36,8,90.81711450395892
resnet_manual_ipex,1,16,13.272866043264195
resnet_manual_ipex,4,16,45.65767643899398
resnet_manual_ipex,8,16,72.02932384971633
resnet_manual_ipex,12,16,90.55718211843696
resnet_manual_ipex,16,16,87.10857259284627
resnet_manual_ipex,20,16,102.65869600196737
resnet_manual_ipex,24,16,120.8693162711918
resnet_manual_ipex,28,16,103.26959632899232
resnet_manual_ipex,32,16,106.8635483854891
resnet_manual_ipex,36,16,129.7927255826843
resnet_manual_ipex,1,32,13.178273269676776
resnet_manual_ipex,4,32,40.75407625983316
resnet_manual_ipex,8,32,66.21751674109451
resnet_manual_ipex,12,32,86.48415075418337
resnet_manual_ipex,16,32,89.58009655065325
resnet_manual_ipex,20,32,94.12026558408529
resnet_manual_ipex,24,32,114.26709095689516
resnet_manual_ipex,28,32,101.88827421106302
resnet_manual_ipex,32,32,99.86966763550119
resnet_manual_ipex,36,32,105.77904028782758
